"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -6.096000000000000e-02, 3.000000000000000e-02, 1.138305402443291e+00, 7.873031197656691e+01, 2.929104432056804e-04, 2.458476591424160e+05, 9.724999529083040e+04, 2.976193317606565e+02, 1.999879191055949e-01, 1.878550895953097e-01, 1.834629738466075e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, -6.096000000000000e-02, 2.738738867686236e-02, 1.138307412825253e+00, 7.872759636069243e+01, 3.111054402247685e-04, 2.458480676548806e+05, 9.725023574748026e+04, 2.976195420116193e+02, 1.999805971686758e-01, 1.879438598669653e-01, 1.834630737178285e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
2, -6.096000000000000e-02, 2.500229334911764e-02, 1.138309173284001e+00, 7.872522605384628e+01, 3.007612019212575e-04, 2.458484259227118e+05, 9.725044631175861e+04, 2.976197261252887e+02, 1.999742050868065e-01, 1.880215946611649e-01, 1.834631611735566e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, -6.096000000000000e-02, 2.282490024977979e-02, 1.138310733434829e+00, 7.872312055178135e+01, 2.851701431269325e-04, 2.458487430938673e+05, 9.725063291826016e+04, 2.976198892914873e+02, 1.999685278977135e-01, 1.880904848742030e-01, 1.834632386790168e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, -6.096000000000000e-02, 2.083712106220780e-02, 1.138312096372352e+00, 7.872128271310054e+01, 2.664383425042480e-04, 2.458490202819411e+05, 9.725079593695643e+04, 2.976200318335145e+02, 1.999635722033913e-01, 1.881506670898394e-01, 1.834633063877870e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5, -6.096000000000000e-02, 1.902244265454318e-02, 1.138313277720341e+00, 7.871968986291775e+01, 2.470568550901173e-04, 2.458492605512785e+05, 9.725093723633194e+04, 2.976201553847546e+02, 1.999592771070342e-01, 1.882028311034190e-01, 1.834633650757464e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6, -6.096000000000000e-02, 1.736578989972253e-02, 1.138314294125382e+00, 7.871831973490750e+01, 2.278927258975364e-04, 2.458494672985099e+05, 9.725105880733184e+04, 2.976202616859071e+02, 1.999555825352861e-01, 1.882477119195344e-01, 1.834634155697484e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
7, -6.096000000000000e-02, 1.585340044146644e-02, 1.138315163667065e+00, 7.871714769285354e+01, 2.095043997675262e-04, 2.458496441818204e+05, 9.725116281233801e+04, 2.976203526276259e+02, 1.999524220940259e-01, 1.882861078327135e-01, 1.834634587678744e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
8, -6.096000000000000e-02, 1.447271036588460e-02, 1.138315904130236e+00, 7.871614970055994e+01, 1.921656398261826e-04, 2.458497948137692e+05, 9.725125137850860e+04, 2.976204300698081e+02, 1.999497309763846e-01, 1.883188041338060e-01, 1.834634955535954e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, -6.096000000000000e-02, 1.321224982893378e-02, 1.138316532311656e+00, 7.871530310548316e+01, 1.759939447428377e-04, 2.458499226097375e+05, 9.725132651483739e+04, 2.976204957690510e+02, 1.999474480992323e-01, 1.883465424904761e-01, 1.834635267613127e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
10, -6.096000000000000e-02, 1.206154777267189e-02, 1.138317063601822e+00, 7.871458718392148e+01, 1.610120034277008e-04, 2.458500307015323e+05, 9.725139006213257e+04, 2.976205513349109e+02, 1.999455175759947e-01, 1.883700024807060e-01, 1.834635531555816e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
