ResponseId,MainBranch,Country,LanguageHaveWorkedWith,OpSysProfessional use
1,None of these,NA,NA,NA
2,I am a developer by profession,Canada,JavaScript;TypeScript,macOS
4,I am a developer by profession,Israel,C#;JavaScript;SQL;TypeScript,Windows
5,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,Windows
7,I code primarily as a hobby,India,C++;HTML/CSS;JavaScript;PHP;Python;TypeScript,macOS
8,I am a developer by profession,India,C;C++;HTML/CSS;Java;JavaScript;SQL,Linux-based;macOS
9,I am a developer by profession,Netherlands,NA,Windows
10,I am a developer by profession,Croatia,Delphi;Java;Swift,Windows
11,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,Windows;Windows Subsystem for Linux (WSL)
13,I am a developer by profession,United States of America,C;HTML/CSS;Rust;SQL;Swift;TypeScript,macOS
14,I am a developer by profession,Australia,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,macOS
15,I am a developer by profession,United States of America,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,macOS
16,I am a developer by profession,Russian Federation,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,Windows
17,I am a developer by profession,Czech Republic,C#;Java;PHP;Python;R,Windows
18,I am a developer by profession,Austria,Python;SQL,macOS
19,I am a developer by profession,Austria,C#;PowerShell;SQL,Windows
20,I am learning to code,Serbia,C++;HTML/CSS;Java;JavaScript;Python,Linux-based;Windows
21,I am a developer by profession,Austria,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Linux-based;macOS
22,I am a developer by profession,Italy,Python;SQL;TypeScript,Windows Subsystem for Linux (WSL)
23,I am a developer by profession,Canada,C#;SQL;TypeScript,Windows
25,I am a developer by profession,Israel,C#;C++;JavaScript;PHP;TypeScript,Windows
26,I am a developer by profession,Germany,Dart;Go;Java;Kotlin;Swift;TypeScript,macOS
27,I am a developer by profession,United States of America,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,macOS
28,I am a developer by profession,Israel,C#;HTML/CSS;JavaScript;Rust;TypeScript,Windows
29,I am a developer by profession,United States of America,C;C++,Windows
30,I am a developer by profession,Ireland,C#;JavaScript;PowerShell;SQL,Windows;Windows Subsystem for Linux (WSL)
31,None of these,NA,NA,NA
32,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;SQL,Windows
35,I am a developer by profession,Poland,HTML/CSS;JavaScript;Python;SQL;TypeScript,Linux-based
38,I am a developer by profession,Israel,HTML/CSS;JavaScript;PHP;Python;Ruby,macOS
39,I code primarily as a hobby,Slovenia,HTML/CSS;JavaScript;Python;SQL,Linux-based
40,I am a developer by profession,Czech Republic,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL,Linux-based
41,I am a developer by profession,United States of America,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,
42,I am a developer by profession,Israel,Bash/Shell;HTML/CSS;Python;SQL,Linux-based
43,I am a developer by profession,Iraq,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,Linux-based;Windows
44,I code primarily as a hobby,Sweden,NA,Linux-based
45,I am a developer by profession,Austria,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,Windows
47,I code primarily as a hobby,Norway,Bash/Shell;C;C++;Java;Lua;Python,Linux-based
48,I am a developer by profession,United States of America,Java;JavaScript;PHP;SQL;TypeScript,macOS
49,I am a developer by profession,Germany,Haskell;Java;Rust,Windows;Windows Subsystem for Linux (WSL)
50,I am a developer by profession,Germany,C#;HTML/CSS;JavaScript;SQL;TypeScript,Linux-based
52,I am a developer by profession,Poland,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL,macOS
53,I am a developer by profession,Czech Republic,Bash/Shell;Go;Java;Python,macOS
54,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript,Windows
55,I am a developer by profession,Norway,Bash/Shell;C#;HTML/CSS;Java;JavaScript;LISP;PowerShell;SQL,Linux-based;macOS
56,I am a developer by profession,United States of America,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Windows
57,I am a developer by profession,Taiwan,C++,Linux-based;Windows Subsystem for Linux (WSL)
58,I am a developer by profession,Netherlands,Bash/Shell;C#;HTML/CSS;PowerShell;SQL;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
59,I am a developer by profession,Hong Kong (S.A.R.),Dart;HTML/CSS;Java;Kotlin;Python,macOS
60,I am a developer by profession,Germany,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;Python;SQL,Linux-based;Windows;Windows Subsystem for Linux (WSL)
61,I am a developer by profession,Canada,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,Linux-based
62,I code primarily as a hobby,Mexico,Bash/Shell;HTML/CSS;Python,Linux-based
63,I am a developer by profession,France,Groovy;Java;Kotlin,Linux-based
64,I am a developer by profession,United States of America,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,macOS
