"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -6.096000000000000e-02, 3.000000000000000e-02, 1.138305402440923e+00, 7.873031196380263e+01, 2.929221555970675e-04, 2.458476591408307e+05, 9.724999529054714e+04, 2.976193317604089e+02, 1.999879190736710e-01, 1.878550894907402e-01, 1.834629738464899e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, -6.096000000000000e-02, 2.738738867686236e-02, 1.138307412825333e+00, 7.872759634815884e+01, 3.111126784015235e-04, 2.458480676540377e+05, 9.725023574748990e+04, 2.976195420116277e+02, 1.999805971368215e-01, 1.879438598705270e-01, 1.834630737178326e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
2, -6.096000000000000e-02, 2.500229334911764e-02, 1.138309173285982e+00, 7.872522604346989e+01, 3.007655376605631e-04, 2.458484259225820e+05, 9.725044631199563e+04, 2.976197261254961e+02, 1.999742050600312e-01, 1.880215947486670e-01, 1.834631611736551e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, -6.096000000000000e-02, 2.282490024977979e-02, 1.138310733438218e+00, 7.872312054210030e+01, 2.851727244441613e-04, 2.458487430942034e+05, 9.725063291866564e+04, 2.976198892918420e+02, 1.999685278724077e-01, 1.880904850238936e-01, 1.834632386791853e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, -6.096000000000000e-02, 2.083712106220780e-02, 1.138312096376519e+00, 7.872128270410751e+01, 2.664398107804319e-04, 2.458490202825553e+05, 9.725079593745487e+04, 2.976200318339503e+02, 1.999635721796692e-01, 1.881506672738474e-01, 1.834633063879940e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5, -6.096000000000000e-02, 1.902244265454318e-02, 1.138313277724955e+00, 7.871968985447170e+01, 2.470576307748112e-04, 2.458492605520634e+05, 9.725093723688394e+04, 2.976201553852375e+02, 1.999592770846073e-01, 1.882028313072021e-01, 1.834633650759758e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6, -6.096000000000000e-02, 1.736578989972253e-02, 1.138314294130235e+00, 7.871831972689641e+01, 2.278930632348835e-04, 2.458494672993956e+05, 9.725105880791237e+04, 2.976202616864147e+02, 1.999555825139137e-01, 1.882477121338523e-01, 1.834634155699895e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
7, -6.096000000000000e-02, 1.585340044146644e-02, 1.138315163672032e+00, 7.871714768520003e+01, 2.095044558813151e-04, 2.458496441827646e+05, 9.725116281293216e+04, 2.976203526281456e+02, 1.999524220735379e-01, 1.882861080520598e-01, 1.834634587681213e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
8, -6.096000000000000e-02, 1.447271036588460e-02, 1.138315904135244e+00, 7.871614969319874e+01, 1.921655127291701e-04, 2.458497948147458e+05, 9.725125137910762e+04, 2.976204300703320e+02, 1.999497309566307e-01, 1.883188043549466e-01, 1.834634955538442e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, -6.096000000000000e-02, 1.321224982893378e-02, 1.138316532316662e+00, 7.871530309836645e+01, 1.759936965353705e-04, 2.458499226107303e+05, 9.725132651543614e+04, 2.976204957695745e+02, 1.999474480800997e-01, 1.883465427115200e-01, 1.834635267615614e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
10, -6.096000000000000e-02, 1.206154777267189e-02, 1.138317063606801e+00, 7.871458717700907e+01, 1.610116739211626e-04, 2.458500307025312e+05, 9.725139006272810e+04, 2.976205513354318e+02, 1.999455175573869e-01, 1.883700027005573e-01, 1.834635531558290e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
11, -6.096000000000000e-02, 1.101104493875486e-02, 1.138317511816283e+00, 7.871398332970210e+01, 1.471911470205512e-04, 2.458501219003477e+05, 9.725144367283539e+04, 2.976205982122506e+02, 1.999438892313470e-01, 1.883897941423442e-01, 1.834635754227256e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
12, -6.096000000000000e-02, 1.005201445655106e-02, 1.138317889149655e+00, 7.871347509998665e+01, 1.344794512087662e-04, 2.458501986862569e+05, 9.725148880551787e+04, 2.976206376764251e+02, 1.999425187271316e-01, 1.884064559418287e-01, 1.834635941685503e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
13, -6.096000000000000e-02, 9.176489346172595e-03, 1.138318206267868e+00, 7.871304808914680e+01, 1.228138555343054e-04, 2.458502632268213e+05, 9.725152673591246e+04, 2.976206708429206e+02, 1.999413672224461e-01, 1.884204588460234e-01, 1.834636099229220e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
14, -6.096000000000000e-02, 8.377196334167581e-03, 1.138318472400471e+00, 7.871268981412864e+01, 1.121281963616649e-04, 2.458503173965262e+05, 9.725155856795219e+04, 2.976206986770086e+02, 1.999404010629228e-01, 1.884322103979819e-01, 1.834636231443534e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
15, -6.096000000000000e-02, 7.647495432058758e-03, 1.138318695481559e+00, 7.871238953691946e+01, 1.023554254504160e-04, 2.458503628062872e+05, 9.725158525062396e+04, 2.976207220084781e+02, 1.999395913000132e-01, 1.884420609387051e-01, 1.834636342270019e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
16, -6.096000000000000e-02, 6.981324775787407e-03, 1.138318882293145e+00, 7.871213808212927e+01, 9.342854239784823e-05, 2.458504008333579e+05, 9.725160759511782e+04, 2.976207415466320e+02, 1.999389131973591e-01, 1.884503099382280e-01, 1.834636435077925e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
17, -6.096000000000000e-02, 6.373150267825973e-03, 1.138319038606007e+00, 7.871192765354577e+01, 8.528122440446039e-05, 2.458504326504107e+05, 9.725162629167104e+04, 2.976207578950120e+02, 1.999383457351046e-01, 1.884572122139990e-01, 1.834636512734129e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
18, -6.096000000000000e-02, 5.817919603619812e-03, 1.138319169312200e+00, 7.871175165685122e+01, 7.784863914493761e-05, 2.458504592525837e+05, 9.725164192541894e+04, 2.976207715652613e+02, 1.999378711316203e-01, 1.884629837825905e-01, 1.834636577668982e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
19, -6.096000000000000e-02, 5.311020300440843e-03, 1.138319278546263e+00, 7.871160453350079e+01, 7.106844892312593e-05, 2.458504814819413e+05, 9.725165499089113e+04, 2.976207829897967e+02, 1.999374743959716e-01, 1.884678072113292e-01, 1.834636631936501e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
